"Multidimensional poverty index (MPI)"
"HDI Rank","Country","2006","","2007","","2008","","2009","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2006-2017",""
"168"," Afghanistan","","","","","","","","","","","","","","","","","","","","","0.273","a,b","","","0.273","a,b"
"68"," Albania","","","","","","","0.008","","","","","","","","","","","","","","","","","","0.008","a"
"85"," Algeria","","","","","","","","","","","","","","","0.008","","","","","","","","","","0.008","a"
"147"," Angola","","","","","","","","","","","","","","","","","","","","","0.283","","","","0.283","a"
"83"," Armenia","","","","","","","","","","","","","","","","","","","","","0.001","","","","0.001","a"
"80"," Azerbaijan","0.019","","","","","","","","","","","","","","","","","","","","","","","","0.019","a"
"136"," Bangladesh","","","","","","","","","","","","","","","","","0.194","","","","","","","","0.194","a"
"58"," Barbados","","","","","","","","","","","","","0.009","a,c","","","","","","","","","","","0.009","a,c"
"106"," Belize","","","","","","","","","","","","","","","","","","","","","0.017","","","","0.017","a"
"163"," Benin","","","","","","","","","","","","","","","","","0.346","","","","","","","","0.346","a"
"134"," Bhutan","","","","","","","","","0.175","a,d","","","","","","","","","","","","","","","0.175","a,d"
"118"," Bolivia (Plurinational State of)","","","","","0.094","","","","","","","","","","","","","","","","","","","","0.094","a"
"77"," Bosnia and Herzegovina","","","","","","","","","","","","","0.008","a,c","","","","","","","","","","","0.008","a,c"
"79"," Brazil","","","","","","","","","","","","","","","","","","","0.016","a,b,d,e","","","","","0.016","a,b,d,e"
"183"," Burkina Faso","","","","","","","","","0.520","","","","","","","","","","","","","","","","0.520","a"
"185"," Burundi","","","","","","","","","","","","","","","","","","","","","","","0.404","","0.404","a"
"146"," Cambodia","","","","","","","","","","","","","","","","","0.158","","","","","","","","0.158","a"
"151"," Cameroon","","","","","","","","","","","","","","","","","0.244","","","","","","","","0.244","a"
"188"," Central African Republic","","","","","","","","","0.465","a,d","","","","","","","","","","","","","","","0.465","a,d"
"186"," Chad","","","","","","","","","","","","","","","","","","","0.535","","","","","","0.535","a"
"86"," China","","","","","","","","","","","","","","","","","0.017","a,f,g","","","","","","","0.017","a,f,g"
"90"," Colombia","","","","","","","","","","","","","","","","","","","","","0.021","a,b","","","0.021","a,b"
"165"," Comoros","","","","","","","","","","","","","0.181","","","","","","","","","","","","0.181","a"
"137"," Congo","","","","","","","","","","","","","0.185","","","","","","","","","","","","0.185","a"
"176"," Congo (Democratic Republic of the)","","","","","","","","","","","","","","","","","0.378","","","","","","","","0.378","a"
"170"," Côte d'Ivoire","","","","","","","","","","","","","","","","","","","","","0.236","","","","0.236","a"
"172"," Djibouti","0.170","a,d","","","","","","","","","","","","","","","","","","","","","","","0.170","a,d"
"94"," Dominican Republic","","","","","","","","","","","","","","","","","0.016","a,b","","","","","","","0.016","a,b"
"86"," Ecuador","","","","","","","","","","","","","","","","","0.018","a,d","","","","","","","0.018","a,d"
"115"," Egypt","","","","","","","","","","","","","","","","","0.020","a,h","","","","","","","0.020","a,h"
"121"," El Salvador","","","","","","","","","","","","","","","","","0.033","","","","","","","","0.033","a"
"144"," Eswatini (Kingdom of)","","","","","","","","","","","","","","","","","0.083","","","","","","","","0.083","a"
"173"," Ethiopia","","","","","","","","","","","","","","","","","","","","","0.490","","","","0.490","a"
"110"," Gabon","","","","","","","","","","","","","0.067","","","","","","","","","","","","0.067","a"
"174"," Gambia","","","","","","","","","","","","","","","0.286","","","","","","","","","","0.286","a"
"140"," Ghana","","","","","","","","","","","","","","","","","0.132","","","","","","","","0.132","a"
"127"," Guatemala","","","","","","","","","","","","","","","","","","","0.134","","","","","","0.134","a"
"175"," Guinea","","","","","","","","","","","","","","","","","","","","","0.337","","","","0.337","a"
"177"," Guinea-Bissau","","","","","","","","","","","","","","","","","0.373","","","","","","","","0.373","a"
"125"," Guyana","","","","","","","","","","","","","","","","","0.014","","","","","","","","0.014","a"
"168"," Haiti","","","","","","","","","","","","","0.231","","","","","","","","","","","","0.231","a"
"133"," Honduras","","","","","","","","","","","","","0.090","a,i","","","","","","","","","","","0.090","a,i"
"130"," India","","","","","","","","","","","","","","","","","","","","","0.121","","","","0.121","a"
"116"," Indonesia","","","","","","","","","","","","","0.029","a,b","","","","","","","","","","","0.029","a,b"
"120"," Iraq","","","","","","","","","","","0.059","","","","","","","","","","","","","","0.059","a"
"97"," Jamaica","","","","","","","","","","","","","","","","","0.018","a,c","","","","","","","0.018","a,c"
"95"," Jordan","","","","","","","","","","","","","0.005","","","","","","","","","","","","0.005","a"
"58"," Kazakhstan","","","","","","","","","","","","","","","","","","","0.002","a,d","","","","","0.002","a,d"
"142"," Kenya","","","","","","","","","","","","","","","","","0.179","","","","","","","","0.179","a"
"122"," Kyrgyzstan","","","","","","","","","","","","","","","","","0.008","","","","","","","","0.008","a"
"139"," Lao People's Democratic Republic","","","","","","","","","","","","","0.211","","","","","","","","","","","","0.211","a"
"159"," Lesotho","","","","","","","","","","","","","","","","","0.146","","","","","","","","0.146","a"
"181"," Liberia","","","","","","","","","","","","","","","0.331","","","","","","","","","","0.331","a"
